"","X","Y","cropland","dec.trees","evgr.trees","shrubland","grassland","bare.soil","wetland","urban","water","dominant","pure","cell.no","red","nir","blue","swir","ndvi","osavi","lswi","is.water","height","slope","aspect","tpi","optional"
"172",26.4910627419343,56.376986102079,0,0,0,2,0,0,98,0,0,"wetland",TRUE,87621904,0,0.0525,0.0065,0.044,0.920000016689301,1.1582350730896,0.0880829021334648,0,104,0.000564821762964129,1.06224524974823,0.125,TRUE
"173",25.2539705249512,63.3968033597044,0,0,0,4,0,0,96,0,0,"wetland",TRUE,16294577,0.04,0.38,0.005,0.145,0.808000028133392,0.938868761062622,0.447619050741196,0,173,0.00267427880316973,3.14159274101257,0,TRUE
"174",23.308537823233,62.790664551726,0,0,0,1,0,0,99,0,0,"wetland",TRUE,22451496,0.046,0.298,0.0135,0.1475,0.748000025749207,0.867371201515198,0.340148687362671,0,112,0.00610351003706455,4.93861150741577,-0.125,TRUE
"175",24.9017593842383,59.0426925592453,0,7,0,7,0,0,86,0,0,"wetland",FALSE,60535342,0.014,0.371,0.009,0.1555,0.920000016689301,1.07541286945343,0.409306734800339,0,68,0.0219046324491501,4.45902013778687,-0.875,TRUE
"176",27.5317596485297,64.9315535980161,0,0,0,6,0,0,94,0,0,"wetland",FALSE,703113,0.017,0.1545,0.0105,0.0495,0.800000011920929,0.929595530033112,0.514705896377563,0,148,0.0103054391220212,2.35383796691895,-0.25,TRUE
"177",24.6061512702921,58.9960594562159,0,0,0,2,0,0,94,0,4,"wetland",FALSE,61008804,0.0365,0.229,0.0305,0.1575,0.723999977111816,0.840801239013672,0.184993535280228,0,61,0,4.71238899230957,0,TRUE
"178",21.6656825881663,62.0158852539406,0,0,0,0,0,0,100,0,0,"wetland",TRUE,30322320,0.019,0.146,0.0085,0.07,0.76800000667572,0.892415821552277,0.351851850748062,0,64,0.00740573368966579,3.14159274101257,-0.375,TRUE
"179",23.8948673656941,58.6765854751455,0,0,34,1,0,0,65,0,0,"wetland",FALSE,64253847,0.026,0.2485,0.009,0.171,0.811999976634979,0.939981043338776,0.184743747115135,0,18,0.00687040667980909,1.55431223447522e-15,0.125,TRUE
"180",23.9900702623064,61.0069747360549,0,0,45,0,3,0,0,0,52,"water",FALSE,40576023,0.0035,0.057,0.0075,0.038,0.88400000333786,1.02443051338196,0.200000002980232,0,118,0.038788478821516,0.542429447174072,-2.375,TRUE
"181",21.9375321218148,62.0764400139633,0,0,0,1,0,0,99,0,0,"wetland",TRUE,29707714,0.0185,0.1235,0.045,0.0865,0.740000009536743,0.857263505458832,0.176190480589867,0,100,0,4.71238899230957,0,TRUE
"182",25.1289629226617,58.9543381491465,0,0,0,2,0,0,96,0,2,"wetland",TRUE,61432691,0.0355,0.243,0.0055,0.147,0.744000017642975,0.864024698734283,0.246153846383095,0,78,0.00748539948835969,1.39942836761475,-0.375,TRUE
"183",25.7123038456473,58.768856579247,0,0,0,2,0,0,98,0,0,"wetland",TRUE,63318239,0.0355,0.3195,0.018,0.188,0.800000011920929,0.927790939807892,0.259113311767578,0,72,0.00716796517372131,1.08971476554871,-0.625,TRUE
"184",28.1954545728437,63.8135244322893,0,0,0,0,0,0,100,0,0,"wetland",TRUE,12063942,0.014,0.125,0.0165,0.0495,0.800000011920929,0.925798118114471,0.432664752006531,0,212,0.0130568305030465,1.98887383937836,0.625,TRUE
"185",24.1121023377567,64.273846222583,0,0,0,0,0,0,100,0,0,"wetland",TRUE,7382706,0.0485,0.3625,0.0145,0.1345,0.763999998569489,0.886056244373322,0.458752512931824,0,48,0.00360868498682976,5.63155317306519,0.25,TRUE
"186",20.1904886825653,64.5714316810989,0,0,0,2,0,0,98,0,0,"wetland",TRUE,4354753,0.0075,0.1415,0,0.26,0.899999976158142,1.04266166687012,-0.295143216848373,0,268,0.0495381467044353,2.51294660568237,-0.375,TRUE
"187",24.089288987569,58.9593563854281,0,1,0,1,0,0,98,0,0,"wetland",TRUE,61381243,0.038,0.206,0.019,0.123,0.688000023365021,0.798426747322083,0.25227963924408,0,42,0.00949277076870203,4.96634578704834,-2,TRUE
"188",29.1150591471987,63.9652768264743,0,0,0,0,0,0,100,0,0,"wetland",TRUE,10522629,0.0485,0.1945,0.0305,0.2355,0.600000023841858,0.696725368499756,-0.0953488349914551,0,197,0.00592259364202619,3.56662154197693,-0.25,TRUE
"189",28.3849443096748,64.973145259963,0,0,24,0,3,0,56,0,17,"wetland",FALSE,280613,0.0295,0.2365,0.0165,0.1475,0.779999971389771,0.90243536233902,0.23177082836628,0,228,0.00556370010599494,4.86277684785819e-14,-0.375,TRUE
"190",27.0515843930281,59.1627328243717,0,0,0,0,0,0,100,0,0,"wetland",TRUE,59317829,0.0515,0.237,0.024,0.1545,0.643999993801117,0.745651125907898,0.210727974772453,0,56,0,1.57079637050629,0,TRUE
"191",22.1448729008455,61.9851141773195,0,0,0,0,0,0,100,0,0,"wetland",TRUE,30635283,0.038,0.1555,0.016,0.143,0.607999980449677,0.70410168170929,0.0418760478496552,0,104,0.00046507062506862,1.57079637050629,0,TRUE
"192",24.1657015335759,58.5268007526614,0,0,0,1,0,0,99,0,0,"wetland",TRUE,65776200,0.0495,0.2865,0.0275,0.1935,0.703999996185303,0.818019509315491,0.193749994039536,0,22,0.00762533862143755,4.71238899230957,0,TRUE
"193",20.3681143407197,64.2242551096118,0,0,0,0,0,0,56,0,44,"wetland",FALSE,7882932,0.042,0.2175,0.016,0.1475,0.675999999046326,0.784266889095306,0.19178082048893,0,146,0.00203984137624502,1.57079637050629,-0.375,TRUE
"194",27.6825142962978,64.5624941676409,0,0,0,0,0,0,0,0,100,"water",TRUE,4453025,0.0025,0.042,0.0215,0.043,0.888000011444092,1.02781522274017,-0.0117647061124444,0,172,0,1.57079637050629,0,TRUE
"195",27.0595032135154,55.5654959166226,0,0,0,0,0,0,8,0,92,"water",FALSE,95867917,0.0115,0.045,0.009,0.0345,0.592000007629395,0.686815142631531,0.132075473666191,0,126,0.0117090875282884,2.08831739425659,0.375,TRUE
"196",26.2232133906598,64.5010212433898,0,0,0,0,0,0,97,0,3,"wetland",TRUE,5076514,0.0415,0.248,0.013,0.1395,0.712000012397766,0.827198028564453,0.280000001192093,0,110,0.00737341679632664,1.22124532708767e-14,0.375,TRUE
"197",24.2658747787165,64.4990194889536,0,0,0,0,0,0,100,0,0,"wetland",TRUE,5094701,0.0285,0.193,0.012,0.0985,0.744000017642975,0.861178815364838,0.324185252189636,0,1,0.0120095908641815,1.57079637050629,0.125,TRUE
"198",27.5704279700001,57.4613676914724,0,0,0,0,0,0,100,0,0,"wetland",TRUE,76605552,0.0445,0.249,0.015,0.1475,0.695999979972839,0.808025062084198,0.255989909172058,0,130,0.00543194729834795,5.20867824554443,-0.125,TRUE
"199",24.1061229799699,62.4682848342199,0,0,0,0,0,0,99,0,1,"wetland",TRUE,25728300,0.0185,0.1645,0.0075,0.1605,0.796000003814697,0.925060093402863,0.0123076923191547,0,178,0.00673217093572021,3.96286344528198,-0.125,TRUE
"200",24.1557938131038,58.9900596487926,0,0,0,1,0,0,99,0,0,"wetland",TRUE,61068830,0.0265,0.2555,0.012,0.144,0.811999976634979,0.941718637943268,0.279098868370056,0,42,0.00329773407429457,3.14159274101257,-0.375,TRUE
"201",24.1646840489732,62.3701110231311,0,0,0,83,17,0,0,0,0,"shrubland",FALSE,26726279,0.012,0.336,0,0.112,0.920000016689301,1.07975172996521,0.5,0,152,0.0438548699021339,4.32455587387085,0,TRUE
"202",25.6379008979975,59.017899801883,0,0,0,0,0,0,100,0,0,"wetland",TRUE,60788084,0.0335,0.223,0.0035,0.1265,0.740000009536743,0.856730818748474,0.276108711957932,0,80,0.0107069117948413,2.04892945289612,-0.375,TRUE
"203",27.9285576226112,57.1210633941889,0,0,0,0,0,0,100,0,0,"wetland",TRUE,80063353,0.011,0.0865,0.0235,0.0355,0.776000022888184,0.897520005702972,0.418032795190811,0,84,0.00765840988606215,1.39059746265411,-0.75,TRUE
"204",24.6260178325528,63.2599197340385,0,0,0,0,0,0,96,0,4,"wetland",TRUE,17684984,0.0495,0.2975,0.0365,0.142,0.716000020503998,0.828857898712158,0.353811144828796,0,182,0.0106800310313702,4.2870626449585,0.375,TRUE
"205",22.1785979286679,62.6120844087268,0,0,0,0,0,0,100,0,0,"wetland",TRUE,24264757,0.0325,0.131,0.015,0.1185,0.603999972343445,0.698496162891388,0.0501001998782158,0,151,0.0170028489083052,2.31791281700134,-0.125,TRUE
"206",29.3987723247199,64.9404653154374,0,0,0,0,0,0,77,0,23,"wetland",FALSE,614275,0.027,0.157,0.036,0.072,0.708000004291534,0.819209039211273,0.371179044246674,0,249,0.00546595454216003,2.27693009376526,-0.625,TRUE
"207",27.0684412026373,64.797662899497,0,0,0,0,0,0,14,0,86,"water",FALSE,2063446,0.0125,0.124,0.005,0.0645,0.815999984741211,0.946990787982941,0.3156498670578,0,151,0,1.57079637050629,0,TRUE
"208",24.4682777509994,58.4870436948039,0,0,0,0,0,0,100,0,0,"wetland",TRUE,66179705,0.047,0.137,0.0425,0.159,0.488000005483627,0.567144691944122,-0.0743243247270584,0,21,0.00741642341017723,4.71238899230957,0.75,TRUE
