"","X","Y","cropland","dec.trees","evgr.trees","shrubland","grassland","bare.soil","wetland","urban","water","dominant","pure","cell.no","red","nir","blue","swir","osavi","lswi","is.water","height","slope","aspect","tpi","mean.ndvi","phase1","amplitude1","phase2","amplitude2","optional"
"1",29.9156504522558,62.4593228878899,97,3,0,0,0,0,0,0,0,"cropland",TRUE,25824876,69,851,32,351,0.985828578472137,0.415973365306854,0,81,0.0122534362599254,2.32047080993652,-0.125,0.609307706356049,3.42436575889587,0.4568752348423,1.42924737930298,0.0897972285747528,TRUE
"2",21.6597051818006,57.3125309856939,83,17,0,0,0,0,0,0,0,"cropland",FALSE,78111594,86,752,38,408,0.921733319759369,0.296551734209061,0,10,0.0176350492984056,5.02772188186646,-0.5,0.617562472820282,3.610511302948,0.29335156083107,4.8398962020874,0.0995674356818199,TRUE
"3",27.0237796097112,58.5427017592562,100,0,0,0,0,0,0,0,0,"cropland",TRUE,65617801,84,678,39,312,0.904062151908875,0.369696974754333,0,66,0.0227880645543337,1.0870509147644,0,0.512622237205505,3.84605550765991,0.130481645464897,5.60721254348755,0.151141420006752,TRUE
"4",21.8988168884021,63.1904811917089,98,0,0,0,0,0,0,2,0,"cropland",TRUE,18387835,45,911,43,281,1.05061912536621,0.528523504734039,0,3,0.0181421712040901,2.30808568000793,-0.125,0.50342857837677,3.83737850189209,0.211550235748291,0.444369226694107,0.146009549498558,TRUE
"5",27.2787706699959,56.7292042562397,15,0,0,0,78,0,0,7,0,"grassland",FALSE,84044298,48,868,21,375,1.03824663162231,0.396621078252792,0,99,0.00713197560980916,1.22124532708767e-14,0.625,0.57880699634552,3.55293107032776,0.337311506271362,5.89351558685303,0.0586017183959484,TRUE
"6",23.3501871193001,61.7490285011661,91,8,1,0,0,0,0,0,0,"cropland",FALSE,33035538,46,828,34,314,1.03770482540131,0.450087577104568,0,118,0.0092942425981164,4.78035926818848,-1.75,0.719583332538605,3.75854516029358,0.315451890230179,5.18396282196045,0.0834500789642334,TRUE
"7",21.5366846077719,57.2202551719228,100,0,0,0,0,0,0,0,0,"cropland",TRUE,79048910,103,672,54,366,0.851488709449768,0.29479768872261,0,12,0.0158276744186878,2.19924855232239,0,0.545870959758759,3.1533682346344,0.0909545868635178,4.64395046234131,0.101630076766014,TRUE
"8",22.5287670872256,58.9990155630044,100,0,0,0,0,0,0,0,0,"cropland",TRUE,60976470,54,721,28,338,0.998142302036285,0.361661940813065,0,6,0.0104115838184953,0.571332573890686,0.25,0.672918021678925,3.67187547683716,0.310409218072891,4.6248025894165,0.101967707276344,TRUE
"9",22.1537486274359,57.0238080920502,100,0,0,0,0,0,0,0,0,"cropland",TRUE,81045372,14,276,0,188,1.04742217063904,0.189655169844627,0,40,0.0126686608418822,1.30337929725647,-0.625,0.619214296340942,3.53540635108948,0.201186940073967,5.24287462234497,0.0750586465001106,TRUE
"10",23.7261638221388,56.551598601617,100,0,0,0,0,0,0,0,0,"cropland",TRUE,85845037,40,870,33,273,1.05783593654633,0.522309720516205,0,9,0.000261621753452346,1.57079637050629,0,0.499243229627609,2.92305660247803,0.236292228102684,5.31112480163574,0.220792502164841,TRUE
